COUNTRY,CANRAT,GDPPER,URBPOP,PATRES,RNDGDP,POPGRO,LIFEXP,TUBINC,DTHCMD,AGRLND,GHGEMI,RELOUT,METEMI,FORARE,CO2EMI,PM2EXP,POPDEN,ENRTER,GDPCAP,HDICAT,EPISCO
Malawi,Low,4110.963866,17.427,,,2.665771783,63.717,138,49.64724799,63.47051336,11982.42756,91.30682899,4389.696958,23.77704709,0.084636158,100,205.5267395,2.432581186,622.1845914,L,40.6
Uganda,Low,6228.365029,24.954,13,,3.332808745,62.851,199,51.66055771,71.88809096,39280.05175,92.95052698,21178.67916,11.65918612,0.127793035,100,221.447292,,846.8811992,L,35.8
Zambia,Low,9882.56304,44.629,17,,2.933818135,62.38,319,56.51785266,32.06795894,36107.82044,96.99382395,15448.75233,60.28333714,0.401902713,100,25.46135272,,956.8317475,M,38.4
Iran,Low,51344.09111,75.874,11396,,0.835176148,74.832,12,8.089179176,28.98469442,844649.4679,5.104887878,174641.9705,6.626730354,7.063351321,100,53.79981079,57.34032822,2746.419483,H,34.5
Panama,Low,66974.22843,68.414,22,0.222450003,1.451052137,76.657,33,13.36727042,29.30843893,17231.02452,65.32634033,5047.340489,56.80560798,2.231443025,71.63674766,57.89156107,45.22066116,13293.33321,VH,50.5
Kenya,Low,10663.23153,27.995,341,,2.009700111,62.675,250,48.28991208,48.68749341,80188.01667,87.51424723,37602.48554,6.344818498,0.374079219,100,91.34093545,19.34871483,1936.250752,M,30.8
Morocco,Low,27201.45926,63.532,250,,1.053160179,73.92,96,8.906129377,68.02151019,88027.79761,14.30889033,12029.80502,12.86688326,1.818526387,100,82.20652476,40.02001953,3258.10498,M,28.4
Albania,Low,32168.73718,62.112,,,-0.574206959,76.989,16,3.023108283,42.53850365,8304.29494,100,2692.195886,28.7919708,1.544550115,100,103.5711314,61.39257813,5343.037704,H,47.1
Malaysia,Low,54031.99439,77.16,989,0.950879991,1.199859622,75.938,90,18.13860307,26.08735352,302088.6631,9.957168455,37175.59793,58.17695937,7.383715412,90.53734381,101.0500472,42.40976715,10160.82935,VH,35
Azerbaijan,Low,28890.55302,56.397,90,0.223900005,0.684365325,66.868,58,5.988189042,57.83824989,55351.99383,7.039857421,15733.13101,13.69418968,3.398849573,100,122.1247368,36.15219879,4229.910649,H,38.6
Guyana,Low,61884.85135,26.786,,,-0.194366444,68.486,78,17.411326,5.293370587,5282.035926,,1846.596396,93.5501143,3.472771017,99.98817732,4.04979426,,6863.074346,H,38.5
Indonesia,Low,24022.38865,56.641,1309,0.280770004,0.840389268,68.808,301,18.92565955,34.2473232,976487.6772,10.65115563,333994.9095,49.07178037,2.071658962,95.56714726,144.7963882,38.65038681,3895.618152,H,28.2
Mexico,Low,45491.29409,80.731,1132,0.296380013,0.727243816,70.133,23,9.093436836,49.96939222,592321.1717,15.39413379,143480.8889,33.79309139,3.040766375,99.65612655,64.81560843,45.16545105,8654.997325,H,45.5
Mali,Low,6374.483227,43.909,,,3.142603659,58.633,51,60.25432518,35.1928798,43491.51296,43.51635514,23070.48212,10.89666363,0.195565971,100,17.39404519,,822.9061375,L,28.5
Haiti,Low,7959.603923,57.088,,,1.302919959,64.052,164,24.65623326,64.94920174,10267.23377,7.996146435,5203.617218,12.60159652,0.283815024,100,410.2612845,,1283.141228,L,26.1
Bolivia,Low,17445.37277,70.123,8,,1.33973922,64.467,103,18.62232215,35.0850864,55203.08943,31.40243902,26597.78542,46.92491461,1.539464696,99.99913202,11.01833472,,3068.812555,M,40.1
Myanmar,Low,11149.19819,31.141,,0.148969993,0.719472826,66.797,311,21.59729881,19.88753888,128949.3985,58.85410144,72110.01694,43.73403098,0.634080348,100,81.85330718,,1477.452905,M,19.4
Nicaragua,Low,12511.28507,59.012,,,1.370695685,71.795,42,9.45054217,42.30513545,18448.51145,50.05459707,9584.807309,28.31585508,0.678252104,99.90269513,56.14006149,18.68551636,1876.607372,M,37.7
Burundi,Low,1718.804896,13.708,2,,2.867082195,61.566,103,51.1748058,80.8411215,4102.678292,82.70938513,1258.19152,10.8894081,0.058384022,100,475.8655374,,216.8274174,L,30.5
Algeria,Low,45285.48837,73.733,163,,1.732456728,74.453,58,12.98441128,17.34700415,266702.6795,0.322683799,86543.92362,0.81830896,3.71822337,100,18.24365706,53.61402893,3354.157303,H,29.6
Mozambique,Low,2924.125706,37.074,26,,2.904819659,61.172,361,54.4396366,52.66389277,33749.36732,86.41088736,16255.45655,46.72519647,0.222767553,100,39.64780259,,454.0623643,L,31.7
Cambodia,Low,8091.740463,24.232,,,1.160057697,70.416,280,23.03431682,34.24760764,42363.17878,46.41801228,17836.42554,45.7079651,1.137583659,100,92.88953093,14.44093132,1577.91174,M,30.1
Iraq,Low,42154.1781,70.893,635,0.03977,2.362111839,69.123,26,15.29683139,21.74243541,261289.5283,3.731754737,85916.97036,1.900361184,3.84217782,100,98.02865514,,4251.337253,M,27.8
Tanzania,Low,5640.885317,35.227,,,3.013853284,66.408,222,54.33698863,44.61639196,89255.44823,34.15409055,46487.36706,51.64258298,0.233945592,100,69.65965003,7.508979797,1104.164429,L,34.2
Honduras,Low,13545.25451,58.359,,,1.622836377,71.462,30,10.68342369,31.62034141,21147.29453,42.2755159,7741.124153,56.83492716,0.872911172,99.98352171,90.46173027,,2354.12148,M,36.5
Tunisia,Low,35905.26039,69.568,,,0.928583172,75.292,36,7.144559056,62.4388517,40882.99745,2.835942265,6653.819385,4.523236354,2.408622528,100,78.28091529,33.13193893,3497.733231,H,40.7
Libya,Low,60425.50131,80.691,,,1.283445092,72.472,59,10.39285333,8.723871012,75370.28088,,24033.12005,0.123327688,6.682805471,100,3.781637246,,7034.658365,H,
Angola,Low,16083.64365,66.825,,,3.268348405,62.261,329,59.16227295,36.81078046,70781.0562,53.17492831,32703.23811,53.42695115,0.592742968,100,26.81357664,,1502.950754,M,30.5
Kyrgyzstan,Low,12736.49635,36.856,63,0.088809997,1.897863823,71.8,108,10.44143105,54.0552659,16093.54198,85.18802763,4864.996701,6.858081335,1.37997538,97.43255692,34.30604797,45.9235611,1182.521506,M,35.7
Solomon Islands,Low,4954.641902,24.67,,,2.371387612,70.199,58,23.39944205,4.287245445,835.240357,2.262630437,416.003048,90.13826367,0.323065549,99.91756319,24.69421222,,2222.462143,M,35
El Salvador,Low,21211.9812,73.444,4,0.165289998,0.19906237,71.061,54,15.7989247,57.70752896,11063.80963,57.8226749,3269.495506,28.17953668,1.013280244,100,303.7032336,30.81921005,3961.726633,M,40.8
Turkmenistan,Low,47482.06957,52.516,,,1.483129015,68.687,46,21.95306144,72.00646905,194091.8305,,124818.6445,8.782159045,10.1840863,100,13.30078522,14.34871006,7297.180042,H,37
Eswatini,Low,34024.90089,24.171,,,0.939644436,59.692,342,42.07940293,69.47674419,3000.932259,46.57258065,1326.034028,28.92790698,0.972087528,100,68.64273256,,3372.904639,M,44.9
Cameroon,Low,9344.587867,57.56,,,2.711853658,60.833,171,51.81622547,20.62575363,93348.64392,76.11719444,17797.74545,43.02951069,0.374782658,100,56.04088553,,1539.130547,M,30.2
Sao Tome and Principe,Low,15097.35858,74.354,,,1.865994498,67.785,115,30.9546637,43.75,179.72515,10.47345768,11.596147,54.0625,0.64535014,100,227.7510417,,2161.310201,M,52.9
Madagascar,Low,2880.56731,38.534,6,,2.482422893,65.182,233,45.45944488,70.29047783,30566.42841,54.59645655,19021.93937,21.36440358,0.097269541,100,48.51353902,5.676859856,462.4042288,L,28
Maldives,Low,30075.78671,40.669,,,1.949134572,79.875,37,8.159321228,21.33333333,1994.511834,1.277204455,137.66522,2.733333333,2.826385298,,1714.793333,,7282.372916,H,37.4
Guatemala,Low,22852.45606,51.836,7,0.048930001,1.519987854,71.797,25,22.30970346,43.03844718,33165.68015,60.39066739,10598.09932,32.92086599,1.000407336,100,157.3192703,18.69449806,4609.897258,M,28
Belize,Low,19221.21881,46.025,,,1.486221516,72.854,27,15.93566018,7.891275756,1573.319685,45.23993047,514.044829,55.98640947,1.741107715,100,17.31350285,25.70165062,5266.87616,M,50
Senegal,Low,12053.40509,48.122,,,2.684381849,68.006,115,43.75460785,48.97937984,30293.27863,10.41719343,11762.77345,41.90598868,0.649800561,100,85.36913728,14.22854042,1492.475904,L,33.9
Liberia,Low,3236.525031,52.089,,,2.031168603,60.948,308,58.43149773,19.96511628,2155.394887,,338.868895,79.08471761,0.231838924,100,52.81960133,,597.5296919,L,24.9
Somalia,Low,7896.896512,46.141,,,3.418197348,55.967,254,61.01646017,70.34144164,26272.10205,,18752.05737,9.532311028,0.039934653,100,26.36053177,,416.2177747,,
Guinea,Low,9131.087412,36.875,,,2.512250121,59.327,175,57.96012489,59.5596614,29745.6922,78.75156502,16813.30155,25.18720495,0.343646151,100,53.74065196,5.771441936,1073.659339,L,31.6
Ghana,Low,12816.16791,57.349,12,,2.066268801,64.114,140,45.23819591,55.39301991,39070.28751,50.89200244,11847.91345,35.09693099,0.602887453,100,141.4317967,18.64871979,2176.576218,M,27.7
Gabon,Low,60369.25934,90.092,,,2.195637043,66.531,517,46.27022173,8.356564598,14849.25845,43.74412041,7451.56422,91.32068149,2.333273575,100,8.897322156,,6680.08267,H,49.7
Kuwait,Low,82160.87226,100,,0.186609998,-1.832820647,76.92,18,7.085531171,8.417508418,135896.7903,,22640.62617,0.350729517,21.16961025,100,244.6938272,53.7298584,24297.70114,VH,42.4
Rwanda,Low,6873.092786,17.432,,,2.39670705,66.774,57,38.18091588,79.39197406,6329.924675,56.88782816,2680.924714,11.18767734,0.10512414,100,532.8886096,7.24450016,773.8205575,L,32.8
Bahrain,Low,86745.79,89.506,7,,-1.125242678,79.174,15,5.00867409,10.31847134,54151.41004,,17641.43403,0.891719745,21.97690781,100,1882.126115,56.63399887,23433.18724,VH,42
Burkina Faso,Low,6128.931801,30.607,,0.248239994,2.688787667,59.731,46,54.10482801,46.10380117,32262.81629,9.354038684,15408.27314,22.72076023,0.253533189,100,78.66456871,7.683710098,833.2443361,L,35.5
Comoros,Low,13181.1552,29.38,,,1.900940814,64.166,35,44.07133812,71.46695325,619.946774,,236.81787,17.68941429,0.407112183,100,433.189683,,1519.58678,M,42.5
Togo,Low,6307.751104,42.8,,,2.391219022,61.035,35,48.56244122,70.2334988,8395.488807,75.30864198,3039.881913,22.23331495,0.286061844,100,155.2230189,15.0659399,875.2454099,L,34
Pakistan,Low,16703.46395,37.165,338,,1.73302782,66.269,255,33.14795923,47.63776463,436608.9225,31.43034972,169428.2367,4.833307389,0.810360216,100,294.7238753,,1322.314783,L,24.6
Nigeria,Low,15710.17359,51.958,410,,2.440608885,52.887,219,65.20789105,75.20339932,322336.5011,18.19512506,151059.7744,23.74578653,0.537510175,100,228.737667,,2074.613928,L,28.3
Equatorial Guinea,Low,50447.76727,73.1,,,2.732269498,60.708,275,59.50939333,3.740463458,9542.961347,57.82747604,4778.315427,87.28770053,2.725730852,100,56.9001426,,6327.598962,M,44.8
Botswana,Low,40938.91802,70.877,2,,1.850985764,65.647,230,44.90445318,45.63372329,12374.76398,0.033704078,3434.49382,26.91705045,2.263463114,100,4.493148413,24.01279068,5875.070606,M,54
Lesotho,Low,6642.488722,29.028,,,1.267840873,54.693,592,42.18825423,80.13833992,4013.753971,100,998.828453,1.137022398,1.025642163,100,74.24571805,,939.5042491,L,32.3
